Correct, Wrong
isee, iseem	ifee	isnee	iseet	ijee	isze	igee	isexe	isjee	zsee
gunahon, qunahon	gunahom	gunahona	gunahzn	gaunahon	gunihon
pakode, pakpde	pakoze
izaat, izaaut	aizaat
arjawan, arjawaqn	akjawan	adrjawan	arjaean	aujawan	garjawan	arjpwan
saheed, sgheed	sahked	soheed	seheed	saheedz	safheed	saheded	saheedi
medo, merdo	ledo	medq	redo	iedo	mjdo	memdo	mevo	meodo	medg
unos, ubnos	lnos	munos	unosa	sunos
wudu, wupu	wdudu	wudm	wudp	wudmu
feast, fbeast	fsast	fenst	feastd	lfeast	feasm	feasj	feasit
lgsg, lgsgb	clgsg	klgsg	lghg
ador, adorp	ahor	vador	adyor	adoz	gdor	adnr	adovr	adour
percaya, perciaya	pfercaya
lans, lansx	lens	cans	clans
acara, acaroa	scara	aeara	acarfa	kacara	acawa	acarta
unrise, unrisea	unrwise	unrjse	unorise	junrise	unjrise	undise	unroise
ranon, rnaon	ranonh	eanon	rzanon
munaqash, munvqash	emunaqash	munarash
nightstand, ninhtstand	nightsttand	nigptstand	nightstband	nimhtstand	nightskand	nigghtstand	nighgtstand
khusumat, khusumak	khusumawt	kmhusumat	khuysumat	kiusumat	khvsumat	khusumpat	khusuhmat
ramona, ranmona	ramonga	rmamona	ramorna
flaxmead, flaxiead	wlaxmead	fclaxmead
duarte, dudarte	duaste
alonzo, alofzo	alonzpo	alonuo	aloqzo	alonyzo	aluonzo	blonzo	alonzg	dlonzo
kalor, katlor	fkalor	klalor	kapor	qalor	kalgor
ezequador, ezoquador	ezequadtr	elequador	ezfquador
galli, galjli	gallg	golli	gballi	gaqli	garli	galqli	gpalli	gallhi	gallti
dec, dewc	edc	deec	deck	rec	dtc	decm	tdec	zec	ddc
tadrees, tadxees
toofan, voofan	toofcn	ktoofan	teoofan	toofyn
wrestling, wresteing	fwrestling	wfestling	wrestlnig	woestling	wrestlsng	wdrestling	wrestlingm
tajarba, tajarbaz	tajarra	tajarwba	tajarcba	tamjarba
nigar, ncgar	unigar	nivar	nigmar	nqgar
akmal, ajkmal
cl, clj	cle	cml	xcl	cla	cxl	cly
passand, passcand
zindage, zindagge	zinnage	zindayge	zinduage
besti, becsti	bestpi	lesti	besta	bestv	bestif	bejti	bdsti	eesti	bpesti
wkt, wxt	wkbt	wwkt	ckt	wnkt	wktp
bakwass, bakzass	bakwags	baklwass	gakwass	bdakwass	baekwass
sony, sonyt	sonyg	sonyx	ssony	sonyu	xony	sonv	sonw
ubtan, ubwan	ubtanl	ubyan	ubtao	ubtanf	ubran	ubtanw	ubftan	ubtvan	wbtan
arnst, arnrt	iarnst
darjah, darjsah	darujah
askriat, adkriat	aszkriat	dskriat	askrit	aslkriat	askrwiat
mitanay, muitanay	mfitanay	mitanayr
gulukarah, gulukfarah	gusukarah	gulukabrah	gunukarah	gulurarah	gulfukarah
meino, megno	mqeino	feino	meinoq	meido	mrino	beino	meion
fiqray, fwqray	fliqray	siqray	fiqpay	fiqraw
athasi, athaqsi	azthasi
kyonkr, kyponkr
intention, intfntion	intrntion	kntention	pintention	intwention	integntion	ihtention	intentiotn	intevntion	intentiont
followback, followpack	foblowback	follofback	followbmck	follogback	follbwback	followoback	follqowback	follqwback
ramlal, ramlas
larkio, loarkio	larkido	lbarkio	larkiow	larmkio
baithne, jbaithne	baithnoe	baithnq
hough, houegh	nhough	mhough	hpough	hoagh	houeh	hhugh	fhough
percentage, pjrcentage	percqentage	perwcentage	percentase	pxercentage
rejected, rujected	rejecxed	rejocted	rejxcted	rejectwd	xejected	rejectedh	rejectedf
lgaye, lgaje	lsgaye	lgayer	ylgaye	loaye	lgayd	zlgaye	lgayez	clgaye	lgame
raised, raissed	raired	rkised	ryaised	rvised
publicly, bublicly
maregi, maregk	mareki	mareyi	mayregi	oaregi	maregli	marregi	madegi
fools, feools	foolz	fwols	foolws
canvas, acanvas	canvaas	cwnvas	canvns	canvams	canval	cinvas	canvfs	caivas	canvars
kharap, kparap	kharapl	kharau
kaddu, kauddu	ekaddu	kadtdu
daag, daasg	danag	daao	tdaag	daahg	daqag
ugh, hugh	ulh	ughl	ugs	ugg
resence, relence	reseznce	resedce	ressence	rkesence	resency	resenfe	resencee	resejce
anerjee, angrjee	anerjese	anerlee	anerbjee	anferjee	anerjeet	canerjee
onderful, onuerful	gonderful	konderful	onxerful	bonderful	onderfulz	onderffl	ondekful	onderfur	onderfql
anega, anegy	qnega	wanega	anrga	ankega
munafiqat, mugafiqat	munafiqabt	munafiqlt	dmunafiqat	munafixat	munafiqan
umhy, iumhy
khwaish, khwamish
bukhara, bukjhara	nbukhara	bukqhara
uljhane, iljhane	udljhane	uljhvne	uljwhane	ulrjhane	uljeane	uljhabe	quljhane
ubarik, ucarik	ubarir	ufbarik	ubarimk	ubartk	xubarik	ubariu	ubarok
aqdeer, aqdegr	aadeer	awdeer	aqdeeor	aqdyeer	caqdeer	aqgdeer	aldeer	kqdeer	aqseer
putih, xutih	putlih	putbih	uputih
ketika, kteika	kxtika	ketikav	ketkka	keitka	ketiuka	kaetika
ayadat, ayapat	ayndat	atyadat	ayfdat	avyadat	aradat
sunat, dsunat	sgnat	sudnat	ounat
thaknay, thaknfay	thaknar	thaknbay	teaknay	thaknaj	thakniay	thagknay	thaknby	thadknay
trabajo, traybajo	htrabajo	tiabajo
mending, mendinhg	mendiyg	mendjing	mpending	mendng	mendimg	mendiqg	mendinn	mendinqg	mendingz
momineen, momineeng	momineex	mominoen	momimneen	somineen	momzneen	mopmineen	mocmineen	comineen
manzlon, manzlozn
madeeney, bmadeeney	madeenegy	madebeney	mjdeeney	mndeeney	majeeney	mareeney	madeenepy	madeenuey
gooshay, gooshasy	bgooshay	gnooshay	goomshay
amrikyon, amrikyogn	aomrikyon
mkalmon, mkalmoin	mkalmona	mkalpmon	mkamlon	mkaalmon	mkalzmon	mwalmon	mkavmon	mkalmot	ymkalmon
arghon, argshon
bhooray, bhooraya	bhooraky	bhoqoray	bhmooray	bhooruay	bhoorya	bhoorayv	bhoorayc
corao, cforao	coraov	czrao	coraom	chorao	colrao	copao	corato	coprao	ctorao
yells, yelws	ysells	yemls	tyells
dennis, dennws	dewnis	dnenis	dkennis	dfennis	deunnis	dxennis	aennis
raked, rakad	rakkd
manfaz, bmanfaz	manfazf	manfsaz	manfay	manqfaz	mnfaz	manfwz	manfhz	maffaz	maonfaz
charlies, hcarlies	chakrlies
norton, nortov	nortoc	noron	noarton	nortony	nortoj	nortop	norkton	nortzn	nortoun
magistraty, magisdraty	magistrnaty	magistkaty	magistrazty	magiystraty	magisturaty	magistratyx	hagistraty	mkgistraty	magpstraty
ellic, ellico	ellicd	eqlic	eollic
lawaris, laoaris
sahare, saaare	iahare	sfhare	sahalre	seahare	sahdare	sahareq
karengi, carengi	kakrengi	karengiz
mars, maprs
rubbish, rubbism	rubbgsh	rubbioh	rhbbish	rubobish	brubbish	rubbinh	rebbish	rubbizsh	rubbiso
lyty, fyty	lyts
mojod, mlojod	mojord	mojzd	moqjod	mojodi	mojdd	mojosd	mojond
lovers, loverd	aovers	lovetrs	lovdrs	loveps	lvovers	loverjs	loversb
adorable, adorabled	qadorable	adorwable	adorablqe	adoryable	arorable	adoratble	adgorable
shine, sjhine
lgay, lgaxy	lxay	lgayf	lgayg	lday
aaisa, aaibsa	aaiysa	aadisa	aaiosa	acisa	caaisa	aaisoa	zaaisa
shave, scave	shjave
jeo, jfo	jeox	jeon	jepo	gjeo	jseo	yjeo	jko
fax, fafx	qax	faxe	ftx	yfax	faxa	faxt	flx	fah	faox
sehna, sehnb	lehna	serhna	segna	sehnva
blank, blaak	blanh	boank	blpnk	qblank	blxnk	blankl	blapk
darion, earion	xarion
milaad, mimaad	milaadt	milaacd
ronald, ronalfd	ronabld	ronapd	roknald
churanay, cuuranay	chuyranay	churagay	chrranay	churznay	churatay
muskorata, mudkorata
uko, guko	ukj	tko
barking, tbarking
mastermind, mastecrmind
scripted, scriptod	scripved	sqcripted	scriptxed
bhokte, bhokcte	bhokjte	bhokate	bghokte	bhokqte	ibhokte
tumahri, tumahmri	tummhri	tumihri	tumahvi	tumahrim	rumahri
sidhart, sidoart	sidmart	sidtart	jsidhart	sidqhart	sidhars	sivhart	sidharw	szdhart
ence, yence	rnce	enwce	encea	eance	xnce	rence	qnce	gence	enoe
namaskar, namaskarn	namavskar	nameskar
arcastic, arcasthic	arrastic	adcastic	arcasqtic	arcastibc
aukaad, auktad	daukaad	aukaand	hukaad	dukaad	aukard	qaukaad	aukawad
angna, angha	anwna	angnra	anona	angng
bolege, bolaege	bilege	bolegpe	bolgege	bolegr	belege	bolefge
enki, enwi	enii	lenki	rnki	enji	enkxi
zm, dzm	zgm	zwm
chidiya, chidiyja
turns, tyrns	turbns	turos	tprns	turcns	turnl	turnss	turnsy
tongue, tontue	tongse
behalf, beqalf	boehalf	bihalf	gbehalf	behaolf
hikhari, hikhawi	hikhjari	hskhari	hikhfari
congres, congras
joined, joinew	joincd	joiced	joinked	joijned	joened
ayyar, aryar	ayyarh	ayyair	ayyhar	ayyax	aygar	ayydar	ayrar
bachelor, bacwelor	bnchelor	jachelor
fella, felola	fellz	fellag	felqla
alguma, algzuma	palguma	algumas	algumay	algumwa
nosso, noeso	nossox
apua, apur	acua	avpua
falls, malls
babi, pabi	baii	bkbi	bajbi	babfi	uabi	bxbi	bagbi
comin, hcomin	comidn	cozmin	compin	compn	cohin	comikn	comig
prima, crima	sprima	primat	priman	pqrima
nunggu, nunggiu	nufggu	nunggul	nungwu	xunggu
dicen, dictn	dicey
mahawray, mahawmay	mahkawray	dmahawray	mabhawray	mahbwray	zahawray
porch, puorch	pborch
ikhtiyaari, ikhtiyaaoi	ikhtiyaaki	ikheiyaari	ikhtiyaara	ikhtiyaani
ikawan, ikaran	ikamwan	ikawano	iawan
eltron, eltoon	eotron
kaitlin, kjaitlin	kakitlin	khaitlin	yaitlin	kaltlin	kaitlic	kaitlib
camaro, czmaro	xcamaro	cpamaro	camearo	camaso	camfro
mastooli, matooli	mastoolw	mestooli
tacitus, tacitzus
myles, myoes
sadgi, sadwi	nsadgi	sasgi	sadri	sadsi	sadgiv	nadgi	sakdgi	sadgdi
karnama, karnamay	karnamak	xarnama	karnpma	fkarnama	kaznama	karqnama
sakein, sakeinj	saiein	sacein	xsakein	sakeinx	sakeiz	sakeien
philosophy, philosophny	ephilosophy	lhilosophy	philosophv	philosophyv
tadfeen, tadfehn
gunaah, ganaah	guqaah	gunaav	gukaah	gurnaah	wgunaah
basera, vasera	besera	bsaera	baaera	basgra	bawera	basra	sasera
ghour, ghhur	ghmur	ghouro	gthour
uthne, ushne	luthne	ujhne	futhne	ulhne	utrne	uthqne	uqthne	mthne
nmbr, nembr	ombr	smbr	nmfr	nmbo	pmbr	nombr
uty, ruty	uxty	utw	utd	utuy	nuty
saadi, saaoi	asadi	snadi	saadhi	tsaadi	saawi	saaadi	saadic	bsaadi
laiken, laikfen	lzaiken	laziken	klaiken	laikken	laikea	laeken	laikenm	laikesn	lairen
btain, btaiyn	bytain	btmin	byain	btaih	itain
rukne, ruyne	rpkne	ruknd	rrkne	ruknh	orukne	rukneq	rukse
garbage, garbagi	darbage	garbagwe	gqarbage	garbzage	ganbage	garbagoe	garfbage	gabage
hahrah, haerah	hahzrah	hahrdh	hahrabh
bandah, bandoh	banoah
utang, utaung	utwang
jaaty, gaaty	jaatdy
jitega, eitega	jitepga	jitegq	jitrga	jiteba	njitega	jitegda	jptega	jitehga
mga, emga	mfa	mrga	mgae	gma	mgea	mgia	ymga
darindo, zdarindo	darlindo	dariundo	darindm	dalrindo
badhao, aadhao	bdadhao	bdhao	baodhao	baqdhao	bladhao	sbadhao
failana, failand	fgilana	failanea	failnna
thaek, thark	thaep	tsaek	tbaek	thaefk
cum, cuim	cwm	ium	cuom	cym	czm
apt, aptl	apr	aptm	apkt
nfact, nfacg	nfaoct	hnfact	nfract	ynfact	nfakct
uskan, askan	uskean	uskaq	uyskan	eskan	uskjan	ulkan	ucskan
ladys, lfadys	ladygs	ladsys	cladys	ljadys	lakys	lhadys	lagys	ladyks	laudys
anuragkashyap, anuragktashyap	anuragkasvyap	anuragkashcap	sanuragkashyap	anuraskashyap	anuraghkashyap	anuragkashywp	anuragkashtyap	awuragkashyap
bhoomi, bhfomi	bhoojmi
vir, vwir	virv
ilk, olk	ilko	inlk	ilu	ilqk	iljk	cilk	ilvk	xilk
lw, vlw	qlw	plw	flw	lwp	lwy	l
tazleel, dazleel	tazheel	tazileel	tazlyel	etazleel	atazleel	tazlezel
rsa, rsax	rpsa	rla	rsqa	rda	rmsa	rsg	rxsa
quanto, quqnto	quantw	qeuanto	uqanto	quantoe	quabnto
tentar, tevtar	tintar
urang, urng	urangp	uriang	uranc	urans	urazg
akut, akurt	akwt	akutj	akuh	azkut	eakut	mkut	akutb
shrunk, xshrunk
uat, uut	ruat	uaft	usat	uaqt
tanah, tanaq	ranah
intake, iantake	iintake	intakee	intayke	intakie	intakre	fntake	intakf	inbtake	intakef
comme, colme	ctomme	comxe	coome	commc	comfe
haciendo, hacienvdo	hacienado	havciendo	habciendo	jhaciendo	haczendo	hacienydo	raciendo	hapciendo
leeza, leezwa	lceza	lekeza	leezj
walnya, wannya	walnja	warlnya	waxlnya	wanlnya
tamadduni, tamaddlni	tamaddluni
pedaos, psdaos
omaha, aomaha	omacha	otmaha	gmaha	omahab	oqmaha	omaho	omaca
belian, bbelian	beliaan	becian	beliaw	belianv	belioan	belixn
pia, pwa	piaa	plia	ipa	zpia	piia	hpia	piau
rashan, rajshan
iskay, isbkay	iskxy	jiskay	iskayv	qiskay	iskaj	iskoy	izskay	iskak
utara, eutara	utalra	utaya	utaria	utarah
receive, receivep	receiveu
composition, compositigon	compogsition	composimion	cmposition	cdmposition	composintion	combposition	copposition	compositionp
nicholas, nicholsas	nichosas	nicholqs	zicholas	wnicholas	nicholasp	nicholabs	nicholajs
universities, universitites	univyrsities	universitiesj	univedsities
bgair, bgrir	bguir	bgavir	bgir	hgair
nr, mnr	nfr	nrf	xnr
bhaiii, bphaiii	bhaiiai	lhaiii	cbhaiii	vhaiii	bhwaiii	bhpaiii	bhdiii
crimes, primes	crimesx	crives	crimgs	crimis
galay, garlay	galayi
kardena, kardina	oardena
gad, gid	gat
tjhy, tjay	tjhys	trhy	tjmhy	tuhy	gjhy	ptjhy	tjhp	tojhy	tjhs
remind, qemind	rxmind	remiyd
toyota, tyyota	toyotc	tnoyota	tcoyota	poyota	ltoyota	toyiota	toyoya	toyoda	toyocta
supurd, srupurd	fupurd	supugrd	suqurd	supumrd	supurdf	supurld	rsupurd	suzpurd	swupurd
sahili, stahili
grave, gqave	graqve	gjave
khotay, mhotay	khotayc	khotayk	khotey	khoaty	khouay	khztay	kfotay	khotaqy
license, licewnse
zrort, zfrort
qala, qfla	wqala	cqala	qalk	qaka
aasha, atsha	aaesha
nechy, nevchy	nqchy	echy	neczhy	njchy	nenchy	nech	ynechy	nechyq
badtar, bdadtar	bqdtar	badzar
mic, maic	mihc	mip	moic	miv	mipc	mec	micr	micv	tic
haw, waw	hraw	hakw
chicha, ciicha	chizha	pchicha	chiecha
rabnsn, rabbsn	rarnsn	qrabnsn	rabnbn	raknsn	radnsn	ragbnsn	rabvsn	rabnhn
ehtajaji, ehtzjaji	ehtajajh	ehkajaji	eytajaji
pherna, pherqa	npherna
khasay, hhasay	ckhasay	khasiay	khasayw
vyana, yana
zamiinon, zamiijon	zamiinojn	zamriinon	zamiginon	uamiinon
ldi, ldr	ldv	cdi	lwi	lhdi	ldsi
todays, itodays	wodays	tbdays	tvdays	bodays	ptodays	tooays	dodays	todcays	todads
awani, awavni	wawani	awaki
sikhna, sikcna	psikhna	sikhnak	hsikhna	tikhna	sikwna	asikhna	sikhnaa
pitne, pitdne
sangh, sangy	sajgh	sankgh	sangb	saqgh	sannh
arpok, arpek	garpok	armpok	arpdok	crpok	harpok	artpok	zrpok	arpsk	wrpok
protests, protqests	protefsts	protesws	procests	orotests	eprotests	plrotests	pryotests
knock, knocpk
hatever, hateveqr	hpatever	hatevpr	hbatever	haztever	hagever	phatever
outrage, ouptrage	outragr	outrange	ouwrage	outrgae	ostrage	outrige	outyrage	outroage
dalalo, dalako	dadlalo	dakalo	dalauo	dalsalo	dalaglo	dalalok	dalaflo	dulalo	dclalo
haikuch, haitkuch
akshi, abkshi	aksbi	aksqhi	akvshi	okshi	akshhi
amethi, amethxi	amefthi	ametshi	amethr	armethi	qamethi
lagya, lagyg	laigya	lagyar	laeya	vagya	lagqa	lagha	laqgya	lavgya
wud, wgd	wul	nud	xwud	wuk
santi, ksanti	santig	santio	sjnti	salti	sanhti
awas, axas	awass	aewas	awats	swas	awzas	awjs
ataya, atadya
airy, airv	ahiry	ariy
mhare, vhare	mhbare	mqare	mhaee	mhagre	chare	mharp	rmhare
makkari, maekari	makakari	makkarir	makkarie	makdkari	makokari	makkuri	umakkari
vatan, vawtan	vatanb	vabtan	vathn	vaftan	vatabn	vitan
ssalamu, szalamu	zsalamu	fssalamu	ssalaemu	ssaxamu
whos, whosb	whosl	whosv	whgos	whxs	whofs	whbs	whoks	wqhos
llaha, llahaz	lsaha
aluchistan, aluschistan	aluhhistan	kluchistan	aluchistamn	aluchiatan	aluchistane	aluchisqtan	aluchisytan	ajuchistan
adiya, nadiya	adiyia	adkya	adqiya	adiyae	aodiya	qdiya	adsya
cloud, clorud	clouj
durbhagya, duxbhagya
boni, bomi	aboni	bonii	bonoi
bhateeji, bhteeji	bhateei	buhateeji	bhafteeji	bhbateeji	mbhateeji	bhatqeji	bhateejie
eenay, cenay	eensay	eenvy	eenayj	eeynay	eernay	beenay	eenapy
ateen, ateyen	atemen	ataeen	avteen	atehen	ateben
segala, sagala	sdgala
sayang, skyang
represents, representt	reperesents	rsepresents	representsl	representl	represenhts	representls	represenuts	rpresents	rebresents
pehra, pehka	kehra	pehrab
pedo, podo	bedo	rpedo	peido	pedc	poedo	pedot	peno	vedo	pedfo
segundo, segubndo	sgeundo	szegundo	segucndo	sqegundo	spegundo	segugdo	seguvndo
ses, stes	seis	sel	pes	tses
walt, gwalt	waltv	ialt	walgt	wtalt
contented, ckntented	ocntented	cyntented	contekted	contentedu	conxented	conented
alita, dlita	aliua	aldta	zalita	aulita
hiyai, hiyaif	hiyam	hhyai	hijyai	hiyyai	hiyab	hiyxai	hiyaio	hipyai
pendukung, pejdukung	pgendukung	endukung
hazwah, hazwiah	hazwaa	hazwaah	hazwawh	hazway	hiazwah	hazwahi	phazwah	hjzwah	hatzwah
bithti, bithth	bithki	bitxhti	bithtwi	bithtil
tairta, gtairta	tatrta	taiuta	taivrta	taitrta
tinisi, tinis	tsinisi	uinisi	tinisa	tinipi	tinsi	tinisiy	tintsi	otinisi	tinisj
zach, zfach	zachq	zacch	zacht	zkch	gzach	zazch	ztach
msica, mdsica	msqica	isica
priscilla, prisciilla	priscilila	pbiscilla	prjiscilla	priescilla	priscihla	priscilal	pvriscilla
ondhee, ondheue
julies, julibs	jumlies	julives	juies	juliesg	jlies	tulies	julioes
artists, artihsts	sartists	artisgts	artidsts
bhan, bhtan	blhan	bian	ghan	bqhan	bhjan	bchan	btan	bjhan
bawajod, bawajou	bawabod	bkawajod	obawajod	bawajodq	bawajmd	rawajod	bawajgd	bawayjod
phans, yphans	phmans	phasn	phang
frmaye, frmsaye	fremaye	tfrmaye	frmace	frmyae	frmjaye
lti, lte
israel, israelg	iesrael	isnael
vegas, tvegas	vpegas	veas	vegms	svegas	vmegas	pegas	vegasd	vwgas	vehgas
reached, reachnd	reachec	reachhed	reachied	reacbhed	reacheb	reachvd	ieached	reahed
hotta, hxotta	dhotta	vhotta	hottla	hottaa	hottga	hottg	lhotta	hottak
nhee, ehee	xnhee	nhbee	ngee	nhoe	nheev
nazro, nazmro	nazero	napzro	bnazro	xazro	nazpo	knazro	nacro	nrzro	nazkro
krli, krlyi	krly	kdrli	fkrli	krki	krliz
rehkar, rdehkar	reykar	rwhkar	rehkadr
makanon, makanoq	makanoi
colleges, collegls	collqges	colteges	collefes	colldeges	collezes	colseges
females, femqales	femaleo	jemales	femalles	femadles	femailes	flmales	femalegs	fqemales	femalesh
ispr, sipr	isbpr	iospr
baksh, bakshw	barksh	haksh	bakth	byaksh	vaksh	bakshl	bakuh	bakcsh
thru, ihru	thry	xthru
aliktronks, aliktronms	aliktrponks	oliktronks	aliktroks	aliktronrs
tavassut, tavajsut	tavasspt	tatassut	tavassuk	ctavassut	tavpassut	tavassst
jeneati, jzneati	jeneani
badnuma, bnadnuma	brdnuma	wbadnuma	badnusa	badyuma	badnuna	badnuaa
lense, lecnse	lemse	levnse	lenre
hiddat, hliddat	hiqdat	hiddrt	hiddatt	hiddad	hiddit	hiddai	hibddat	hidgat	hfiddat
kasafat, kastfat	karafat	kasafgt	kasafapt	casafat	tkasafat
bahtay, bfhtay	bahatay	bajhtay	bahvtay	oahtay	bazhtay	bahday	bavtay
hehla, mehla	ohehla	heehla	heqla	hehula	hbhla	henla	hehlax
singhar, singhyr	singhlr	binghar	hinghar	sinmhar
baut, tbaut	baunt	bauqt	bavt	bautu	bautv	bawut	babt	bautk
bestfriend, bestfriknd
paayi, paapyi	pbayi	poaayi	paays	paaiy	pnaayi	paayl	cpaayi
hakk, haekk	qhakk	hakik	nakk	hakyk	hazk	hakzk
noche, nocje	nofche	nochk	nochle	jnoche	nofhe	nyoche	nqoche
isly, islyx	iscly	islsy	islxy	iswly	sily
ghuse, jhuse	mhuse	ghusce	gmuse	bghuse	gause	ghxse	thuse	ghouse	ghupse
hhoti, hhotki	hyhoti	hhtoti	hrhoti	hhodti	lhhoti	hhqti	hhfti	hwhoti
bow, ubow	bowe	baw	brow	fow	bvw	dbow	vbow	nbow
ija, ijaq
peechhe, peechbe	peechhqe	pnechhe	peechhv	peechre	peuchhe
elena, elenau
ito, iqo
jayee, jayze	jayqe	jayne
hiding, hiading	hiaing	hiditng	yiding	hidvng	whiding	hidivg	hidizg	hidinsg	kiding
putra, putral	putrat	putrx	purtra	tutra	autra	puqtra	putyra
hoobsurat, hoobwurat	hooxsurat	huobsurat	hoobsuraj	hsoobsurat	hoobsuratu
ating, atjing
ahun, ahudn	awhun	mahun	whun	ahuv	ahuhn	arhun
lho, lhz	lhb	yho	lhm	lhoc	lht
oreign, oeeign	oreignx	oreirgn	oreiwgn	oreibgn	ordeign	orejign
staghfirullah, stdaghfirullah	staghfirullaqh	staghwfirullah	staghfirullih	staghfiarullah	staghufirullah
iqrarulhassan, iqerarulhassan	iqrarulhsasan	iqrharulhassan	iqrarulhsassan	kqrarulhassan	iqrarylhassan
kkkkkkkkkk, kkkkkkkkek	kkkmkkkkkkk
lvida, lvidta	lvid	lvido	lvidda	lvidat
harq, hazq	hlarq
hussaini, hussainh	hussaiii
hery, aery	hexry	hemry	hfery	oery	heryr	fery	hers	hebry	heryx
duit, duibt	dugit	ducit	duijt	drit	ddit	zduit	muit	dupt
qafia, qafiz	lafia	qagia	qaflia	qyfia
jacinto, jacintoq	jacintoc	jacints	jakinto	jacinrto	jocinto	jadcinto	jfacinto	fjacinto	jauinto
faarsi, nfaarsi	faarsiw	faarhi
waranah, wazranah	hwaranah	waranahv	wairanah	wearanah	waranpah	warbnah	wacranah	waraiah
chaspan, chasian	lhaspan	chaspian
adatees, adatves	adateels	asdatees	adateaes	adyatees	adatses	adateres	adateesx	adateeas
phaiyon, phaiyojn	phaiyonb	pehaiyon	phaoyon
fisher, fiser	xfisher	fishtr	fishdr	fipher	efisher	fishetr	uisher	fisjher	tisher
oncologie, olcologie	onctologie	oncolgoie	oncolaogie
yael, yaex	ylael	myael	ryael	yaei	sael	yaexl	ygael	yxael	yoael
connell, conell
cormag, cormqg	cormtg
niveus, nivues	nixveus
sevrrir, sehvrrir	dsevrrir	sevrriry	qsevrrir	sevrcrir	sevhrir
darrence, darprence	ddrrence	dmarrence	darrewnce	darryence	dararence
tex, texi	tevx	tmex	etx	bex	teqx	texf	tev
rizq, rizqy	riqz	riwzq	rzizq	rizqr	rizk	rizo	rizv	rizqo
dekhai, dekyhai
kolkata, kotkata	kolktta	kolkaoa
relations, relatiobs	relatiozs	relrtions	relatpons	relgations	reljations	relatiopns	relhations	qrelations	relatwions
yafta, ylfta	yaftpa	ysafta	yaffta	yaftq
jumle, jumlb	jumlu	jumzle	juqmle	jumlj	jumli	jumlec
dilata, dilkata	dilatpa	diylata	dilatwa	dilzta	dilada	dilatt	dilatw	dilota	dillata
dow, dobw	dofw	dtw	dbow	mow	doiw	dpw	eow	doew
jhola, jdhola	juhola	jholaf
chiya, hciya	chiyax	chiyao
krlia, krlid
qafas, qafasp	qafams	gafas	qaoas
guzartay, gtuzartay	guzartaye	guwartay	guzanrtay	guzaytay	gugzartay	guqzartay	guzartal
mangti, mangtm	mlngti	manggti	mangtpi	mangtic	mingti	madngti	mrangti	mangtvi	mangtn
karaingay, karainggy	kaeraingay	kwaraingay	kzraingay	karaingqy
sadqy, sadwqy	sadqoy	sadqpy	sadqo	sadqp	sadcqy	gadqy	tsadqy	sasdqy	lsadqy
pyaray, pyarayx	pyabray	pbyaray	pyuaray
sochy, socht	scchy	wochy	socbhy	sochvy	sokchy	ochy
kirsten, kairsten	kiwsten	kirsteqn	kirswen	ikirsten	kirstgen
abadkari, abadkapi	abadkavri	abadoari	abawdkari	abadkaori	abaakari
arjaan, arijaan	arjfaan	carjaan	avrjaan	apjaan	trjaan	arjamn	ardaan	arjaar
athayin, nthayin
dornay, xdornay
paedaari, paedyaari	paedaair	paedaaii
chubhan, chubhanb	chudhan	chubhazn	chybhan	chubhvan	chudbhan	chuhhan	chubhaqn	chubran
gasoleen, gaioleen	gasolxen
tamiz, taiiz	txmiz	tamizo	tamib	tlmiz
estie, gstie	esltie
nstead, nytead	nsteal	nsmead	ncstead	nsteyd	nwstead	ustead	nstxead	nsteabd
cchi, clhi	cchli	ccoi
erious, erfous	eriaus	eurious	irious	gerious
chode, chodk	choder
aadami, aadcami	aaudami	aadamn
qt, tqt
ahr, fahr	ahrg
rehtey, iehtey	tehtey	rejtey	rektey
hining, hiniyg	hiling	hinino	ihining	hininjg	hivning	hinilg	hqining
aplogo, aplqgo	apclogo	zaplogo	apvlogo	aplogot	caplogo
haathon, haathonh	haatkon	caathon
deri, derci	leri	derh	qeri	derpi	dtri	derxi	derif	djri
rkhiye, rkhmye	rkhiyie	rkhiyre	rkqiye	wkhiye	rkzhiye	rkhiya
mhara, mphara	mharag	xmhara	mharan
chanel, chanql	chanjel	chvnel	chaiel	ceanel	chanels	chaner	chanll	chanelq	chaeel
connected, connecwted	hconnected
gulaam, gtulaam	gulaat	gulaao	gulaajm	guelaam	guaaam	gulatam	gulsaam	ulaam
wohe, woje
ebate, ebatf	enbate	ebatel	ebatei
sending, sendring	sendingm	fsending	sendidng	sendeing	sening
akesh, makesh	akeuh
nalaiq, nulaiq
kharaba, kharaca	kharnba	khharaba	khoraba	khuaraba	mharaba	khafraba
pior, pivor	piocr	lpior
aanton, fanton	aangton	aantnon	aantoa	aabton	aauton
buton, auton	butoxn
shhh, shhd	shhih	shht
takhreeb, takhrejeb	takkreeb	taehreeb	taukhreeb	ptakhreeb
beb, bkb	bvb	pbeb	leb
sesuai, vsesuai	sesusi	sesusai
gema, lema	geyma	egma	gtema	gemva	geam
nhazrat, nhazreat	bhazrat	nhafzrat	nhuazrat	nhazruat	nhjzrat	nhazratp	nhazxrat	phazrat
dsko, dasko	dsqo	ydsko	dskoi	dskqo	dsdko	dbsko
tasadeeqi, tahsadeeqi	tasaydeeqi	tjasadeeqi	tasadyeeqi	tasadejqi	tasadelqi	tassadeeqi	tahadeeqi	tasadeyeqi	tasadeeiqi
